CNTY_NAME,MCD_NAME,CTV,ASM,SEN,CON,STR_WARDS,PERSONS18,WHITE18,BLACK18,HISPANIC18,ASIAN18,AMINDIAN18,PISLAND18,OTHER18,OTHERMLT18,PRETOT16
Milwaukee,Glendale,C,24,8,4,0011,487.0,396.0,61.0,6.0,20.0,1.0,0.0,0.0,3.0,431.0
Milwaukee,Glendale,C,11,4,4,0012,771.0,655.0,63.0,24.0,23.0,6.0,0.0,0.0,0.0,573.0
Milwaukee,Glendale,C,11,4,4,008S,321.0,245.0,70.0,2.0,2.0,0.0,0.0,2.0,0.0,187.0
Milwaukee,Glendale,C,11,4,4,011S,458.0,233.0,184.0,8.0,25.0,3.0,1.0,0.0,4.0,277.0
Milwaukee,Greendale,V,82,28,1,0001,889.0,836.0,0.0,13.0,40.0,0.0,0.0,0.0,0.0,741.0
Milwaukee,Greendale,V,82,28,1,0002,946.0,845.0,9.0,20.0,65.0,7.0,0.0,0.0,0.0,856.0
Milwaukee,Greendale,V,82,28,1,0003,1294.0,1174.0,13.0,55.0,36.0,16.0,0.0,0.0,0.0,902.0
Milwaukee,Greendale,V,82,28,1,0004,1279.0,1184.0,15.0,44.0,29.0,2.0,1.0,1.0,3.0,903.0
Milwaukee,Greendale,V,82,28,1,0005,1081.0,1026.0,13.0,30.0,10.0,1.0,1.0,0.0,0.0,853.0
Milwaukee,Greendale,V,82,28,1,0006,973.0,867.0,11.0,47.0,40.0,7.0,0.0,1.0,0.0,818.0
Milwaukee,Greendale,V,82,28,1,0007,931.0,872.0,0.0,37.0,20.0,0.0,0.0,0.0,2.0,730.0
Milwaukee,Greendale,V,82,28,1,0008,1192.0,1062.0,22.0,57.0,46.0,5.0,0.0,0.0,0.0,871.0
Milwaukee,Greendale,V,82,28,1,0009,1274.0,1181.0,13.0,41.0,31.0,6.0,0.0,0.0,2.0,1050.0
Milwaukee,Greendale,V,82,28,1,0010,1084.0,1025.0,2.0,17.0,30.0,4.0,0.0,1.0,5.0,775.0
Milwaukee,Greenfield,C,7,3,5,0001,1512.0,1274.0,27.0,148.0,42.0,17.0,0.0,1.0,3.0,1026.0
Milwaukee,Greenfield,C,82,28,5,0002,1392.0,1225.0,19.0,71.0,41.0,31.0,0.0,0.0,5.0,804.0
Milwaukee,Greenfield,C,7,3,5,0003,1475.0,1134.0,84.0,165.0,68.0,20.0,0.0,1.0,3.0,803.0
Milwaukee,Greenfield,C,7,3,5,0004,1532.0,1147.0,71.0,212.0,84.0,15.0,0.0,0.0,3.0,785.0
Milwaukee,Greenfield,C,84,28,5,0005,1467.0,1246.0,49.0,106.0,47.0,12.0,3.0,3.0,1.0,978.0
Milwaukee,Greenfield,C,84,28,5,0006,1255.0,1169.0,9.0,46.0,26.0,5.0,0.0,0.0,0.0,898.0
Milwaukee,Greenfield,C,84,28,5,0007,1584.0,1457.0,25.0,63.0,26.0,13.0,0.0,0.0,0.0,1074.0
Milwaukee,Greenfield,C,84,28,5,0008,1667.0,1500.0,34.0,62.0,56.0,11.0,0.0,2.0,2.0,1068.0
Milwaukee,Greenfield,C,84,28,5,0009,1618.0,1499.0,29.0,63.0,23.0,4.0,0.0,0.0,0.0,1030.0
Milwaukee,Greenfield,C,84,28,5,0010,1416.0,1267.0,25.0,60.0,50.0,4.0,1.0,6.0,3.0,975.0
Milwaukee,Greenfield,C,84,28,5,0011,1445.0,1346.0,10.0,35.0,48.0,3.0,0.0,0.0,3.0,1182.0
Milwaukee,Greenfield,C,84,28,5,0012,1318.0,1219.0,12.0,40.0,34.0,6.0,0.0,0.0,7.0,1112.0
Milwaukee,Greenfield,C,84,28,5,0013,957.0,871.0,14.0,50.0,14.0,6.0,0.0,1.0,1.0,618.0
Milwaukee,Greenfield,C,84,28,5,0014,1469.0,1220.0,36.0,155.0,33.0,19.0,1.0,2.0,3.0,851.0
Milwaukee,Greenfield,C,84,28,5,0015,1486.0,1268.0,26.0,107.0,63.0,16.0,1.0,0.0,5.0,818.0
Milwaukee,Greenfield,C,82,28,5,0016,1005.0,862.0,49.0,63.0,18.0,11.0,0.0,0.0,2.0,391.0
Milwaukee,Greenfield,C,82,28,5,0017,1561.0,1263.0,39.0,115.0,129.0,10.0,1.0,0.0,4.0,775.0
Milwaukee,Greenfield,C,7,3,5,0018,1152.0,958.0,12.0,103.0,67.0,9.0,1.0,0.0,2.0,850.0
Milwaukee,Greenfield,C,82,28,5,0019,1904.0,1740.0,28.0,68.0,52.0,15.0,0.0,0.0,1.0,1235.0
Milwaukee,Greenfield,C,82,28,5,0020,1696.0,1484.0,16.0,122.0,57.0,14.0,0.0,2.0,1.0,1311.0
